,index,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
0,126224,,,"101 Merritt 7 Corp Park, 1st Floor 0.0",,,,,,,,,,,,,
1,126228,,,"1010 WASHINGTON BLVD, 11th Floor",,,,,,,,,,,,,
2,126233,,,1 Union Place,,,,,,,,,,,,,
3,126234,,,30 Winfield Street 0.0,,,,,,,,,,,,,
4,126263,,,28 woodmont road 0.0,,,,,,,,,,,,,
5,126267,,,1 High Ridge Park 0.0,,,,,,,,,,,,,
6,126366,,,,WEST HARFORD,,,,,,,,,,,,
7,126416,,,,,,,,,,,,,,,PeoplesBank,
8,126449,,,10 Controls Drive 0.0,,,,,,,,,,,,,
9,126474,,,"333 LUDLOW STREET, SOUTH TOWER, 8TH FLOOR",,,,,,,,,,,,,
10,126535,,,47 EPISCOPSL ROAD,CT,,,,,,,,,,,,
11,126540,,,3 Enterprise Drive Suite 220 0.0,,,,,,,,,,,,,
12,126544,,,425 Asylum Street 0.0,,,,,,,,,,,,,
13,126588,,,3 Enterprise Drive Suite 220 0.0,,,,,,,,,,,,,
14,126617,,,"601 BOSTON POST ROAD,",,,,,,,,,,,,,
15,126661,,,"2 Trap Falls Rd., Suite 310 0.0",,,,,,,,,,,,,
16,126698,,,83 Gerber Road West 0.0,,,,,,,,,,,,,
17,126745,,,333 Bridgeport Ave 0.0,,,,,,,,,,,,,
18,126795,,,,NAUGATACK,,,,,,,,,,,,
19,126797,,,800 South Colony Rd 0.0,,,,,,,,,,,,,
20,126830,,,222 Roberts Street 222 Roberts Street,,,,,,,,,,,,,
21,126833,,,,CT,,,,,,,,,,,,
22,126901,,,211 Indain Mountain Road,,,,,,,,,,,,,
23,126927,,,,,,,,,,,,,,,,CT -
24,126939,,,,"EAST HARTFORD,",,,,,,,,,,,,
25,126960,,,108 Main Street 0.0,,,,,,,,,,,,,
26,126978,,,470 Murdock Ave 1,,,,,,,,,,,,,
27,127049,,,35 Prindle Hill Rd 0.0,,,,,,,,,,,,,
28,127107,,,1 Veterans Drive 0.0,,,,,,,,,,,,,
29,127130,,,,CT,,,,,,,,,,,,
30,127154,,,14 Hartford Tpke. 0.0,VERNON,,,,,,,,,,,,
31,127155,,,,,,,,,,,,,,,PeoplesBank,
32,127181,,,,,,,,,,,,,,,,CT -
33,127197,,,,WEST REDDING,,,,,,,,,,,,
34,127223,,,,,,,,,,,,,,,,CT -
35,127227,,,,,,,,,,,,,,,PeoplesBank,
36,127248,,,,,,,,,,,,,,,PeoplesBank,
37,127254,,,271 Hall Ave 271 Hall Avenue,,,,,,,,,,,,,
38,127293,,,"1481 Pleasant Valley Rd,",,,,,,,,,,,,,
39,127362,,,,,,6419.0,,,,,,,,,,
40,127386,,,15 Riverside Avenue 0.0,,,,,,,,,,,,,
41,127435,,,,"NORTH HAVEN ,",,,,,,,,,,,,
42,127479,,,,,,,333911.0,,,,,,,,,
43,127564,,,,,,,,,,,,,,,PeoplesBank,
44,127589,,,1 UNION PLACE,,,,,,,,,,,,,
45,127660,,,,VERNON,,,,,,,,,,,,
46,127671,,,"149 Water Street,4th Floor Suite 4A",,,,,,,,,,,,,
47,127732,,,1010 Washington Blvd,,,,,,,,,,,,,
48,127775,,,,YALESVILLE,,,,,,,,,,,,
49,127823,,,74 BOSTON POST RD MADISON,,,,,,,,,,,,,
50,127862,,,BAR 254 Crown St,,,,,,,,,,,,,
51,127938,,,,,,,,,,,,,,,PeoplesBank,
52,127950,,,50 Waterview Drive 0.0,,,,,,,,,,,,,
53,127987,,,300 Long Beach Boulevard Suite 13 Suite 13,,,,,,,,,,,,,
54,128011,,,,,,,,,,,,,,,,CT -
55,128064,,,1010 WASHINGTON BLVD 7th Floor,,,,,,,,,,,,,
56,128088,,,"21 RIVER RD, 2ND FLR 0.0",,,,,,,,,,,,,
57,128103,,,,,,,,,,,,,,,,CT -
58,128112,,,,YALESVILLE,,,,,,,,,,,,
59,128120,,,,,,,,,,,,,,,PeoplesBank,
60,128149,,,,,,,,,,,,,,,PeoplesBank,
61,128154,,,,KENSINGTON,,,,,,,,,,,,
62,128166,,,533 SOUTH BROAD ST 0.0,,,,,,,,,,,,,
63,128216,,,1 High Ridge Park 0.0,,,,,,,,,,,,,
64,128359,,,,,,6067.0,,,,,,,,,,CT - 01
65,128375,,,,,,,541712.0,,,,,,,,,
66,128378,,,,,,,,,,,,,,,,CT -
67,128379,,,,,,,323119.0,,,,,,,,,
68,128406,,,,,,,517210.0,,,,,,,,,
69,128416,,,"2 Corporate Drive, Ste 136 Suite 136",,,,,,,,,,,,,
70,128421,,,,,,,441221.0,,,,,,,,,
71,128438,,,J.L. LUCAS MACHINERY  CO. INC.,,,,,,,,,,,,,
72,128514,,,,,,,541711.0,,,,,,,,,
73,128524,,,"65 Memorial Road, Suite 300,",,,,,,,,,,,,,
74,128542,,,20 West Avenue 0.0,,,,,,,,,,,,,
75,128642,,,,,,,,,,,,,,,,CT -
76,128663,,,289 Mason St 0.0,,,,,,,,,,,,,
77,128681,,,"185 Asylum Street, CityPlace II floor 18",HARFORD,,,,,,,,,,,,
78,128697,,,9 West Broad Street Suite 250 0.0,,,,,,,,,,,,,
79,128706,,,10 Waterview Drive 0.0,,,,,,,,,,,,,
80,128722,,,9 Mountain View Drive 0.0,,,,,,,,,,,,,
81,128744,,,767 Bridgeport Ave 0.0,,,,,,,,,,,,,
82,128752,,,,STORRS,,,,,,,,,,,,
83,128806,,,,ROCKHILL,,,,,,,,,,,,
84,128888,,,2011POST RD,,,,,,,,,,,,,
85,128926,,,,,,,,,,,,,,,,CT -
86,128989,,,"50 WASHINGTON STREET,",,,,,,,,,,,,,
87,129007,,,,"FAIRFIELD,",,,,,,,,,,,,
88,129073,,,39 Lewis Street 0.0,,,,,,,,,,,,,
89,129100,,,155 N Main St 0.0,,,,,,,,,,,,,
90,129101,,,795 Straits Turnpike 0.0,,,,,,,,,,,,,
91,129130,,,101 Indian Field Road 0.0,,,,,,,,,,,,,
92,129150,,,,,,,541711.0,,,,,,,,,
93,129179,,,,ROCKVILLE,,,,,,,,,,,,
94,129183,,,429 Round Hill Road 0.0,,,,,,,,,,,,,
95,129188,,,"142 Center Street, 2nd Floor 215 Rockwood Drive",,,,,,,,,,,,,
96,129218,,,425 Fairfield Ave Building #4. 0.0,,,,,,,,,,,,,
97,129257,,,,,,,,,,,,,,,,CT -
98,129258,,,518 MONROE TPKE FL 2 2ND FL,,,,,,,,,,,,,
99,129295,,,345 Center Street 0.0,,,,,,,,,,,,,
100,129296,,,34 Frontage Road 0.0,,,,,,,,,,,,,
