,index,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
0,4,,SIMSBURY,,,,,,,,,,,,
1,62,,SOUTHINGTON,,,,,,,,,,,,
2,81,,,,,,,,,,,,,PeoplesBank,
3,88,,COLLINSVILLE,,,,,,,,,,,,
4,112,,NEW HAVEN,,,,,,,,,,,,
5,141,,,,,,,,,,,,,PeoplesBank,
6,154,,NORTH STONINGTON,,,,,,,,,,,,
7,224,,,,,,,,,,,,,PeoplesBank,
8,239,,,,,,,,,,,,,PeoplesBank,
9,258,,FRANKLIN,,,,,,,,,,,,
10,294,,,,,,,,,,,,,PeoplesBank,
11,389,,FAIRFIELD,,,,,,,,,,,,
12,428,,COLLINSVILLE,,,,,,,,,,,,
13,495,,SOUTH NORWALK,,,,,,,,,,,,
14,523,,ROCKVILLE,,,,,,,,,,,,
15,607,,,,,,,,,,,,,Enterprise Bank and Trust Company,
16,712,,LISBON,,,,,,,,,,,,
17,863,,GROTON,,,,,,,,,,,,
18,911,,BERLIN,,,,,,,,,,,,
19,946,,S GLASTONBURY,,,,,,,,,,,,
20,951,,,,,,,,,,,,,Citizens Bank,
21,987,,,,,,,,,,,,,PeoplesBank,
22,1041,,COLLINSVILLE,,,,,,,,,,,,
23,1080,,VERNON,,,,,,,,,,,,
24,1083,,VERNON,,,,,,,,,,,,
25,1101,,YALESVILLE,,,,,,,,,,,,
26,1142,,NORTHAMPTON,,,,,,,,,,,,
27,1161,,WASHINGTON DT,,,,,,,,,,,,
28,1279,,"BETHEL, CT",,,,,,,,,,,,
29,1292,,,,,,,,,,,,,PeoplesBank,
30,1299,,,,64710.0,,,,,,,,,,CT -
31,1358,,,,,,,,,,,,,,CT -
32,1403,,,,,,,,,,,,,,CT -
33,1448,,WETHERSFIELD,,,,,,,,,,,,
34,1514,,VERNON,,,,,,,,,,,,
35,1545,,,,,,,,,,,,,,CT -
36,1550,,COLLINSVILLE,,,,,,,,,,,,
37,1571,,TRUMBEULL,,,,,,,,,,,,
38,1596,,,,,,,,,,,,,,CT -
39,1605,,,,,,,,,,,,,,CT -
40,1614,,VERNON,,,,,,,,,,,,
41,1631,,BERLIN,,,,,,,,,,,,
42,1637,,,,,314991.0,,,,,,,,,
43,1731,,BARKHAMSTED,,,,,,,,,,,,
44,1758,,NEW HAVEN,,,,,,,,,,,,
45,1825,,BRISSTOL,,,,,,,,,,,,
46,1850,,GRISWOLD,,,,,,,,,,,,
47,1916,,,,,,,,,,,,,PeoplesBank,
48,1942,,NEW PRESTON,,,,,,,,,,,,
49,2018,,,,,,,,,,,,,,CT -
50,2073,,MIDDLETOWN,,,,,,,,,,,,
51,2159,,ROCKYHILL,,,,,,,,,,,,
52,2166,,,,,,,,,,,,,,CT -
53,2194,,WALLINGFORD,,,,,,,,,,,,
54,2241,,NORTH HAVEN,,,,,,,,,,,,
55,2362,,,,12345.0,,,,,,,,,,CT - 20
56,2368,,,,,,,,,,,,,PeoplesBank,
57,2392,,NEW HAVEN,,,,,,,,,,,,
